,weblink,price,ad_date,ad_views,brand,model,year,dict_params,city,generation,body,engine,mileage,transmission,drivetrain,drive,body_color,customs_cleared,engine_volume,fuel_type,damaged
2345,https://kolesa.kz/a/show/154464997,19300000.0,2 июля,1674,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '13 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),13.0,автомат,полный привод,слева,белый,Да,2.5,бензин,0
2346,https://kolesa.kz/a/show/150301518,19300000.0,2 июля,6859,Volkswagen,ID.4,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Двигатель': 'электрический', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,,,автомат,полный привод,слева,белый,Да,,,0
2347,https://kolesa.kz/a/show/149726770,19300000.0,1 июля,1485,Changan,UNI-K,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,2 (бензин),,автомат,полный привод,слева,белый металлик,Да,2.0,бензин,0
2348,https://kolesa.kz/a/show/155142029,19300000.0,28 июня,141,Haval,Dargo,2023.0,"{'Город': 'Астана', 'Поколение': '2022 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Пробег': '6 000 км', 'Коробка передач': 'робот', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Астана,2022 - н.в. 1 поколение,кроссовер,2 (бензин),6000.0,робот,полный привод,слева,белый,Да,2.0,бензин,0
2349,https://kolesa.kz/a/show/146268836,19350000.0,3 июля,9994,Volkswagen,ID.4,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Двигатель': 'электрический', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'голубой металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,,,автомат,полный привод,слева,голубой металлик,Да,,,0
2350,https://kolesa.kz/a/show/153360890,19350000.0,28 июня,529,Volkswagen,ID.4,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Двигатель': 'электрический', 'Пробег': '60 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,,60.0,автомат,полный привод,слева,белый,Да,,,0
2351,https://kolesa.kz/a/show/155079957,19390000.0,3 июля,4274,Kia,K5,2023.0,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 3 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '15 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серый', 'Растаможен в Казахстане': 'Да'}",Астана,2020 - н.в. 3 поколение,седан,2.5 (бензин),15.0,автомат,передний привод,слева,серый,Да,2.5,бензин,0
2352,https://kolesa.kz/a/show/155169108,19390000.0,3 июля,4174,Kia,K5,2023.0,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 3 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '15 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}",Астана,2020 - н.в. 3 поколение,седан,2.5 (бензин),15.0,автомат,передний привод,слева,серый металлик,Да,2.5,бензин,0
2353,https://kolesa.kz/a/show/154399244,19390000.0,3 июля,2800,Changan,UNI-K,2023.0,"{'Город': 'Актобе', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'синий металлик', 'Растаможен в Казахстане': 'Да'}",Актобе,2020 - н.в. 1 поколение,кроссовер,2 (бензин),10.0,автомат,полный привод,слева,синий металлик,Да,2.0,бензин,0
2354,https://kolesa.kz/a/show/146413475,19400000.0,3 июля,2408,Kia,Sorento,2023.0,"{'Город': 'Уральск', 'Поколение': '2020 - н.в. 4 поколение (MQ4/MQ4A)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '25 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Уральск,2020 - н.в. 4 поколение (MQ4/MQ4A),кроссовер,2.5 (бензин),25.0,автомат,полный привод,слева,белый,Да,2.5,бензин,0
2355,https://kolesa.kz/a/show/152822775,19400000.0,29 июня,69,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '18 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серебристый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),18.0,автомат,полный привод,слева,серебристый металлик,Да,2.5,бензин,0
2356,https://kolesa.kz/a/show/154734472,19400000.0,2 июля,22,Hyundai,Santa Fe,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '1 800 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серебристый', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение рестайлинг,кроссовер,2.5 (бензин),1800.0,автомат,полный привод,слева,серебристый,Да,2.5,бензин,0
2357,https://kolesa.kz/a/show/149418988,19400000.0,28 июня,108,Changan,UNI-K,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 1 поколение,кроссовер,2 (бензин),,автомат,полный привод,слева,серый металлик,Да,2.0,бензин,0
2358,https://kolesa.kz/a/show/155556714,19400000.0,30 июня,107,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '30 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),30.0,автомат,полный привод,слева,,Да,2.5,бензин,0
2359,https://kolesa.kz/a/show/138243247,19420000.0,3 июля,21848,EXEED,TXL,2023.0,"{'Город': 'Шымкент', 'Поколение': '2021 - н.в. 1 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'робот', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Шымкент,2021 - н.в. 1 поколение рестайлинг,кроссовер,1.6 (бензин),,робот,полный привод,слева,,Да,1.6,бензин,0
2360,https://kolesa.kz/a/show/155373424,19450000.0,3 июля,288,Hyundai,Tucson,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '18 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серебристый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),18.0,автомат,полный привод,слева,серебристый металлик,Да,2.5,бензин,0
2361,https://kolesa.kz/a/show/155212300,19490000.0,2 июля,1235,Mitsubishi,Montero Sport,2023.0,"{'Город': 'Уральск', 'Поколение': '2019 - н.в. 3 поколение рестайлинг', 'Кузов': 'внедорожник', 'Объем двигателя, л': '3 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Уральск,2019 - н.в. 3 поколение рестайлинг,внедорожник,3 (бензин),10.0,автомат,полный привод,слева,белый металлик,Да,3.0,бензин,0
